gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_parter,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
0,3,11,0,2,0,10,16,121,17.0,16.0,19.0,19.0,0.0,8.0,7.0,21.0,19.0,14.0,20.0,24.0,24,37,37,35,31,29.0,44.0,34.0,34.0,29.0,24.0,44,5,38,44,0,0,24,3,22,20,44,0,49,9,44,38,4,27.0,11,34.0,1
0,3,4,0,2,0,10,16,121,29.0,0.0,0.0,39.0,0.0,0.0,7.0,21.0,19.0,14.0,20.0,24.0,24,37,37,35,31,34.0,39.0,34.0,39.0,24.0,29.0,44,5,38,44,0,0,24,3,22,20,44,0,49,9,44,38,4,39.0,11,34.0,1
0,3,6,0,2,0,10,16,121,14.0,4.0,14.0,39.0,6.0,8.0,7.0,21.0,19.0,14.0,20.0,24.0,24,37,37,35,31,34.0,29.0,39.0,34.0,29.0,39.0,44,5,38,44,0,0,24,3,22,20,44,0,49,9,44,38,4,41.0,11,34.0,1
0,3,7,0,3,0,10,16,121,14.0,8.0,19.0,10.0,13.0,33.0,7.0,21.0,19.0,14.0,20.0,24.0,24,37,37,35,31,24.0,29.0,34.0,34.0,29.0,29.0,44,5,38,44,0,0,24,3,22,20,44,0,49,9,44,38,4,29.0,11,29.0,1
0,3,8,0,2,0,10,16,121,24.0,0.0,29.0,10.0,0.0,16.0,7.0,21.0,19.0,14.0,20.0,24.0,24,37,37,35,31,19.0,44.0,34.0,19.0,29.0,19.0,44,5,38,44,0,0,24,3,22,20,44,0,49,9,44,38,4,31.0,11,29.0,0
0,3,14,0,2,0,10,16,121,17.0,12.0,24.0,10.0,6.0,16.0,7.0,21.0,19.0,14.0,20.0,24.0,24,37,37,35,31,34.0,29.0,34.0,19.0,29.0,34.0,44,5,38,44,0,0,24,3,22,20,44,0,49,9,44,38,4,33.0,11,29.0,1
0,3,12,0,2,0,10,16,121,24.0,0.0,24.0,10.0,0.0,24.0,7.0,21.0,19.0,14.0,20.0,24.0,24,37,37,35,31,34.0,29.0,39.0,44.0,39.0,39.0,44,5,38,44,0,0,24,3,22,20,44,0,49,9,44,38,4,31.0,11,34.0,1
0,3,7,0,2,0,10,16,121,49.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,19.0,14.0,20.0,24.0,24,37,37,35,31,24.0,29.0,29.0,39.0,9.0,39.0,44,5,38,44,0,0,24,3,22,20,44,0,49,9,44,38,4,13.0,11,29.0,1
0,7,11,2,2,1,10,22,121,17.0,16.0,19.0,19.0,0.0,8.0,22.0,5.0,24.0,19.0,0.0,8.0,31,18,49,35,6,24.0,34.0,39.0,19.0,29.0,14.0,11,5,33,9,38,27,14,17,38,37,0,44,37,33,38,11,4,32.0,16,29.0,0
0,7,4,2,2,1,10,22,121,29.0,0.0,0.0,39.0,0.0,0.0,22.0,5.0,24.0,19.0,0.0,8.0,31,18,49,35,6,39.0,24.0,29.0,29.0,44.0,29.0,11,5,33,9,38,27,14,17,38,37,0,44,37,33,38,11,4,29.0,16,34.0,0
0,7,4,2,0,0,10,22,121,9.0,14.0,18.0,17.0,19.0,19.0,22.0,5.0,24.0,19.0,0.0,8.0,31,18,49,35,6,24.0,39.0,44.0,29.0,14.0,19.0,11,5,33,9,38,27,14,17,38,37,0,44,37,33,38,11,4,26.0,16,29.0,0
0,7,6,2,2,1,10,22,121,14.0,4.0,14.0,39.0,6.0,8.0,22.0,5.0,24.0,19.0,0.0,8.0,31,18,49,35,6,34.0,44.0,34.0,29.0,24.0,34.0,11,5,33,9,38,27,14,17,38,37,0,44,37,33,38,11,4,17.0,16,34.0,1
0,7,7,2,3,0,10,22,121,14.0,8.0,19.0,10.0,13.0,33.0,22.0,5.0,24.0,19.0,0.0,8.0,31,18,49,35,6,29.0,39.0,34.0,44.0,34.0,39.0,11,5,33,9,38,27,14,17,38,37,0,44,37,33,38,11,4,33.0,16,39.0,0
0,7,8,2,2,1,10,22,121,24.0,0.0,29.0,10.0,0.0,16.0,22.0,5.0,24.0,19.0,0.0,8.0,31,18,49,35,6,39.0,34.0,39.0,14.0,29.0,10.0,11,5,33,9,38,27,14,17,38,37,0,44,37,33,38,11,4,44.0,16,29.0,0
0,7,14,2,2,1,10,22,121,17.0,12.0,24.0,10.0,6.0,16.0,22.0,5.0,24.0,19.0,0.0,8.0,31,18,49,35,6,34.0,24.0,44.0,29.0,34.0,44.0,11,5,33,9,38,27,14,17,38,37,0,44,37,33,38,11,4,41.0,16,39.0,1
0,7,11,2,2,1,10,22,121,16.0,9.0,11.0,11.0,15.0,37.0,22.0,5.0,24.0,19.0,0.0,8.0,31,18,49,35,6,24.0,39.0,34.0,24.0,44.0,24.0,11,5,33,9,38,27,14,17,38,37,0,44,37,33,38,11,4,25.0,16,24.0,0
0,7,12,2,2,1,10,22,121,24.0,0.0,24.0,10.0,0.0,24.0,22.0,5.0,24.0,19.0,0.0,8.0,31,18,49,35,6,34.0,29.0,39.0,44.0,19.0,24.0,11,5,33,9,38,27,14,17,38,37,0,44,37,33,38,11,4,27.0,16,24.0,1
0,7,7,2,2,1,10,22,121,49.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,24.0,19.0,0.0,8.0,31,18,49,35,6,29.0,34.0,39.0,34.0,44.0,39.0,11,5,33,9,38,27,14,17,38,37,0,44,37,33,38,11,4,35.0,16,39.0,1
0,6,11,2,2,1,4,0,121,17.0,16.0,19.0,19.0,0.0,8.0,10.0,21.0,19.0,19.0,13.0,16.0,31,37,43,28,37,19.0,9.0,39.0,24.0,39.0,34.0,0,0,27,33,27,33,34,17,33,24,33,44,31,38,33,0,39,18.0,0,29.0,0
0,6,4,2,2,1,4,0,121,29.0,0.0,0.0,39.0,0.0,0.0,10.0,21.0,19.0,19.0,13.0,16.0,31,37,43,28,37,39.0,34.0,39.0,9.0,34.0,39.0,0,0,27,33,27,33,34,17,33,24,33,44,31,38,33,0,39,18.0,0,39.0,0
0,6,4,2,0,0,4,0,121,9.0,14.0,18.0,17.0,19.0,19.0,10.0,21.0,19.0,19.0,13.0,16.0,31,37,43,28,37,19.0,34.0,39.0,39.0,29.0,34.0,0,0,27,33,27,33,34,17,33,24,33,44,31,38,33,0,39,25.0,0,19.0,0
0,6,6,2,2,1,4,0,121,14.0,4.0,14.0,39.0,6.0,8.0,10.0,21.0,19.0,19.0,13.0,16.0,31,37,43,28,37,39.0,9.0,34.0,9.0,34.0,9.0,0,0,27,33,27,33,34,17,33,24,33,44,31,38,33,0,39,18.0,0,39.0,1
0,6,7,2,3,0,4,0,121,14.0,8.0,19.0,10.0,13.0,33.0,10.0,21.0,19.0,19.0,13.0,16.0,31,37,43,28,37,29.0,44.0,39.0,44.0,39.0,44.0,0,0,27,33,27,33,34,17,33,24,33,44,31,38,33,0,39,29.0,0,34.0,0
0,6,8,2,2,1,4,0,121,24.0,0.0,29.0,10.0,0.0,16.0,10.0,21.0,19.0,19.0,13.0,16.0,31,37,43,28,37,24.0,9.0,39.0,19.0,39.0,10.0,0,0,27,33,27,33,34,17,33,24,33,44,31,38,33,0,39,34.0,0,19.0,0
0,6,14,2,2,1,4,0,121,17.0,12.0,24.0,10.0,6.0,16.0,10.0,21.0,19.0,19.0,13.0,16.0,31,37,43,28,37,34.0,9.0,9.0,34.0,9.0,24.0,0,0,27,33,27,33,34,17,33,24,33,44,31,38,33,0,39,33.0,0,24.0,0
0,6,11,2,2,1,4,0,121,16.0,9.0,11.0,11.0,15.0,37.0,10.0,21.0,19.0,19.0,13.0,16.0,31,37,43,28,37,24.0,44.0,44.0,24.0,44.0,34.0,0,0,27,33,27,33,34,17,33,24,33,44,31,38,33,0,39,28.0,0,29.0,0
0,6,12,2,2,1,4,0,121,24.0,0.0,24.0,10.0,0.0,24.0,10.0,21.0,19.0,19.0,13.0,16.0,31,37,43,28,37,44.0,39.0,9.0,9.0,34.0,39.0,0,0,27,33,27,33,34,17,33,24,33,44,31,38,33,0,39,10.0,0,39.0,1
0,6,7,2,2,1,4,0,121,49.0,0.0,0.0,0.0,0.0,0.0,10.0,21.0,19.0,19.0,13.0,16.0,31,37,43,28,37,39.0,44.0,9.0,9.0,39.0,39.0,0,0,27,33,27,33,34,17,33,24,33,44,31,38,33,0,39,18.0,0,9.0,1
0,6,11,0,2,0,4,0,121,17.0,16.0,19.0,19.0,0.0,8.0,4.0,26.0,19.0,24.0,6.0,24.0,18,31,37,42,18,29.0,44.0,34.0,29.0,34.0,29.0,9,38,44,33,38,33,44,7,27,33,5,22,24,27,16,0,4,33.0,16,29.0,1
0,6,4,0,2,0,4,0,121,29.0,0.0,0.0,39.0,0.0,0.0,4.0,26.0,19.0,24.0,6.0,24.0,18,31,37,42,18,29.0,44.0,44.0,29.0,39.0,10.0,9,38,44,33,38,33,44,7,27,33,5,22,24,27,16,0,4,34.0,16,34.0,1
0,6,4,0,0,1,4,0,121,9.0,14.0,18.0,17.0,19.0,19.0,4.0,26.0,19.0,24.0,6.0,24.0,18,31,37,42,18,19.0,34.0,44.0,19.0,14.0,10.0,9,38,44,33,38,33,44,7,27,33,5,22,24,27,16,0,4,9.0,16,29.0,0
0,6,6,0,2,0,4,0,121,14.0,4.0,14.0,39.0,6.0,8.0,4.0,26.0,19.0,24.0,6.0,24.0,18,31,37,42,18,39.0,29.0,34.0,39.0,10.0,39.0,9,38,44,33,38,33,44,7,27,33,5,22,24,27,16,0,4,27.0,16,44.0,1
0,6,7,0,3,0,4,0,121,14.0,8.0,19.0,10.0,13.0,33.0,4.0,26.0,19.0,24.0,6.0,24.0,18,31,37,42,18,24.0,19.0,39.0,39.0,19.0,10.0,9,38,44,33,38,33,44,7,27,33,5,22,24,27,16,0,4,33.0,16,19.0,0
0,6,8,0,2,0,4,0,121,24.0,0.0,29.0,10.0,0.0,16.0,4.0,26.0,19.0,24.0,6.0,24.0,18,31,37,42,18,14.0,34.0,29.0,4.0,4.0,4.0,9,38,44,33,38,33,44,7,27,33,5,22,24,27,16,0,4,29.0,16,10.0,0
0,6,14,0,2,0,4,0,121,17.0,12.0,24.0,10.0,6.0,16.0,4.0,26.0,19.0,24.0,6.0,24.0,18,31,37,42,18,39.0,39.0,39.0,39.0,14.0,19.0,9,38,44,33,38,33,44,7,27,33,5,22,24,27,16,0,4,37.0,16,39.0,1
0,6,11,0,2,0,4,0,121,16.0,9.0,11.0,11.0,15.0,37.0,4.0,26.0,19.0,24.0,6.0,24.0,18,31,37,42,18,19.0,39.0,44.0,10.0,39.0,14.0,9,38,44,33,38,33,44,7,27,33,5,22,24,27,16,0,4,24.0,16,24.0,0
0,6,12,0,2,0,4,0,121,24.0,0.0,24.0,10.0,0.0,24.0,4.0,26.0,19.0,24.0,6.0,24.0,18,31,37,42,18,34.0,29.0,39.0,39.0,29.0,44.0,9,38,44,33,38,33,44,7,27,33,5,22,24,27,16,0,4,37.0,16,44.0,1
0,6,7,0,2,0,4,0,121,49.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,19.0,24.0,6.0,24.0,18,31,37,42,18,39.0,44.0,44.0,44.0,9.0,34.0,9,38,44,33,38,33,44,7,27,33,5,22,24,27,16,0,4,36.0,16,44.0,1
0,4,11,0,2,0,10,16,121,17.0,16.0,19.0,19.0,0.0,8.0,7.0,15.0,24.0,19.0,20.0,16.0,24,24,18,28,31,19.0,39.0,39.0,24.0,34.0,19.0,22,11,16,9,9,9,10,10,38,29,38,9,49,9,9,9,9,29.0,33,34.0,0
0,4,4,0,2,0,10,16,121,29.0,0.0,0.0,39.0,0.0,0.0,7.0,15.0,24.0,19.0,20.0,16.0,24,24,18,28,31,29.0,29.0,39.0,19.0,44.0,19.0,22,11,16,9,9,9,10,10,38,29,38,9,49,9,9,9,9,29.0,33,34.0,0
0,4,4,0,0,1,10,16,121,9.0,14.0,18.0,17.0,19.0,19.0,7.0,15.0,24.0,19.0,20.0,16.0,24,24,18,28,31,14.0,29.0,39.0,34.0,39.0,39.0,22,11,16,9,9,9,10,10,38,29,38,9,49,9,9,9,9,38.0,33,34.0,0
0,4,6,0,2,0,10,16,121,14.0,4.0,14.0,39.0,6.0,8.0,7.0,15.0,24.0,19.0,20.0,16.0,24,24,18,28,31,34.0,39.0,39.0,34.0,34.0,29.0,22,11,16,9,9,9,10,10,38,29,38,9,49,9,9,9,9,10.0,33,39.0,1
0,4,7,0,3,0,10,16,121,14.0,8.0,19.0,10.0,13.0,33.0,7.0,15.0,24.0,19.0,20.0,16.0,24,24,18,28,31,19.0,34.0,34.0,19.0,39.0,24.0,22,11,16,9,9,9,10,10,38,29,38,9,49,9,9,9,9,16.0,33,24.0,0
0,4,8,0,2,0,10,16,121,24.0,0.0,29.0,10.0,0.0,16.0,7.0,15.0,24.0,19.0,20.0,16.0,24,24,18,28,31,19.0,39.0,34.0,19.0,24.0,19.0,22,11,16,9,9,9,10,10,38,29,38,9,49,9,9,9,9,40.0,33,24.0,0
0,4,14,0,2,0,10,16,121,17.0,12.0,24.0,10.0,6.0,16.0,7.0,15.0,24.0,19.0,20.0,16.0,24,24,18,28,31,34.0,34.0,39.0,34.0,34.0,34.0,22,11,16,9,9,9,10,10,38,29,38,9,49,9,9,9,9,32.0,33,39.0,1
0,4,11,0,2,0,10,16,121,16.0,9.0,11.0,11.0,15.0,37.0,7.0,15.0,24.0,19.0,20.0,16.0,24,24,18,28,31,24.0,34.0,39.0,24.0,44.0,24.0,22,11,16,9,9,9,10,10,38,29,38,9,49,9,9,9,9,26.0,33,24.0,0
0,4,12,0,2,0,10,16,121,24.0,0.0,24.0,10.0,0.0,24.0,7.0,15.0,24.0,19.0,20.0,16.0,24,24,18,28,31,29.0,29.0,39.0,39.0,39.0,29.0,22,11,16,9,9,9,10,10,38,29,38,9,49,9,9,9,9,14.0,33,29.0,1
0,4,7,0,2,0,10,16,121,49.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,24.0,19.0,20.0,16.0,24,24,18,28,31,39.0,29.0,34.0,34.0,39.0,29.0,22,11,16,9,9,9,10,10,38,29,38,9,49,9,9,9,9,19.0,33,34.0,1
0,9,11,4,2,0,4,0,132,17.0,16.0,19.0,19.0,0.0,8.0,10.0,10.0,19.0,29.0,13.0,16.0,31,24,49,28,31,39.0,9.0,44.0,39.0,34.0,29.0,16,11,0,38,27,33,10,7,9,29,38,9,49,44,44,38,14,29.0,27,24.0,1
0,9,4,4,2,0,4,0,132,29.0,0.0,0.0,39.0,0.0,0.0,10.0,10.0,19.0,29.0,13.0,16.0,31,24,49,28,31,9.0,9.0,9.0,9.0,9.0,9.0,16,11,0,38,27,33,10,7,9,29,38,9,49,44,44,38,14,24.0,27,9.0,1
0,9,4,4,0,0,4,0,132,9.0,14.0,18.0,17.0,19.0,19.0,10.0,10.0,19.0,29.0,13.0,16.0,31,24,49,28,31,24.0,9.0,9.0,29.0,29.0,29.0,16,11,0,38,27,33,10,7,9,29,38,9,49,44,44,38,14,43.0,27,39.0,1
0,9,6,4,2,0,4,0,132,14.0,4.0,14.0,39.0,6.0,8.0,10.0,10.0,19.0,29.0,13.0,16.0,31,24,49,28,31,9.0,44.0,39.0,39.0,34.0,34.0,16,11,0,38,27,33,10,7,9,29,38,9,49,44,44,38,14,16.0,27,34.0,1
